Country,continent,date,total_cases,total_deaths,total_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy
Argentina,South America,2021-12-31,5654408.0,117169.0,28610314.0,0.32,3.1,78135084.0,38771667.0,33404614.0,6147048.0,45605823,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,76.67
Austria,Europe,2021-12-31,1278619.0,13733.0,123579209.0,0.0044,226.4,16585110.0,6667321.0,6286700.0,3981330.0,9043072,106.749,44.4,19.202,13.748,45436.686,145.183,6.35,81.54
Belgium,Europe,2021-12-31,2105343.0,28331.0,27361273.0,0.175,5.7,21712856.0,8933167.0,8823324.0,4383478.0,11632334,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,81.63
Bolivia,South America,2021-12-31,599753.0,19680.0,3076104.0,0.2694,3.7,9792844.0,5635100.0,4593214.0,548041.0,11832936,10.202,25.4,6.704,4.393,6885.829,204.299,6.89,71.51
Brazil,South America,2021-12-31,22291839.0,619334.0,66100617.0,0.1627,6.1,331273910.0,166195505.0,143436012.0,26571077.0,213993441,25.04,33.5,8.552,5.06,14103.452,177.961,8.11,75.88
Canada,North America,2021-12-31,2223735.0,30570.0,52662229.0,0.2292,4.4,68756211.0,31726971.0,29414103.0,7615137.0,38067913,4.037,41.4,16.984,10.797,44017.591,105.599,7.37,82.43
Chile,South America,2021-12-31,1806494.0,39115.0,27121207.0,0.0258,38.8,44313177.0,17305441.0,16544427.0,11037162.0,19212362,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,80.18
Colombia,South America,2021-12-31,5157440.0,129942.0,29564153.0,0.135,7.4,64690489.0,38353097.0,28323837.0,3324832.0,51265841,44.223,32.2,7.646,4.312,13254.949,124.24,7.44,77.29
Czechia,Europe,2021-12-31,2475729.0,36129.0,47161361.0,0.097,10.3,15495384.0,6828888.0,6659480.0,2411758.0,10724553,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,79.38
Denmark,Europe,2021-12-31,802397.0,3267.0,55354482.0,0.1055,9.5,12094188.0,4787968.0,4595243.0,2757808.0,5813302,136.52,42.3,19.677,12.325,46682.515,114.767,6.41,80.9
Ecuador,South America,2021-12-31,549418.0,33681.0,2046961.0,0.276,3.6,27566331.0,14224604.0,12690467.0,1127965.0,17888474,66.939,28.1,7.104,4.458,10581.936,140.448,5.55,77.01
Estonia,Europe,2021-12-31,241408.0,1932.0,2536886.0,0.1241,8.1,1808949.0,842192.0,818784.0,322115.0,1325188,31.033,42.7,19.452,13.491,29481.252,255.569,4.02,78.74
France,Europe,2021-12-31,10018021.0,123805.0,196058691.0,0.168,6.0,124036273.0,53109166.0,49573307.0,22431830.0,67422000,122.578,42.0,19.718,13.079,38605.671,86.06,4.77,82.66
Greece,Europe,2021-12-31,1210853.0,20790.0,47248945.0,0.0581,17.2,17469497.0,7469369.0,7041133.0,3530076.0,10370747,83.479,45.3,20.396,14.524,24574.382,175.695,4.55,82.24
Guatemala,North America,2021-12-31,628359.0,16107.0,3281001.0,0.0997,10.0,11310579.0,6535250.0,4686883.0,88446.0,18249868,157.834,22.9,4.694,3.016,7423.808,155.898,10.18,74.3
Ireland,Europe,2021-12-31,788559.0,5912.0,10025882.0,0.4043,2.5,9823054.0,3922646.0,3869387.0,2271314.0,4982904,69.874,38.7,13.928,8.678,67335.293,126.459,3.28,82.3
Israel,Asia,2021-12-31,1383932.0,8243.0,33793548.0,0.028,35.7,16768735.0,6574868.0,5935844.0,4258023.0,9291000,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,82.97
Italy,Europe,2021-12-31,6125683.0,137402.0,140137606.0,0.0935,10.7,111340173.0,48399756.0,44756470.0,19687615.0,60367471,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,83.51
Latvia,Europe,2021-12-31,276674.0,4570.0,5556489.0,0.1197,8.4,2555463.0,1314061.0,1262349.0,258627.0,1866934,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,75.29
Lithuania,Europe,2021-12-31,519597.0,7387.0,6905941.0,0.133,7.5,4131652.0,1917799.0,1832172.0,652024.0,2689862,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,75.93
Malaysia,Asia,2021-12-31,2758086.0,31487.0,41845740.0,0.0298,33.6,57774379.0,26013312.0,25635515.0,6325625.0,32776195,96.254,29.9,6.293,3.407,26808.164,260.942,16.74,76.16
Mongolia,Asia,2021-12-31,692621.0,2059.0,6392729.0,0.0768,13.0,5340605.0,2265984.0,2163572.0,911049.0,3329282,1.98,28.6,4.031,2.421,11840.846,460.043,4.82,69.87
New Zealand,Oceania,2021-12-31,14118.0,51.0,5577146.0,0.005,198.2,8185286.0,3972078.0,3855961.0,357247.0,5126300,18.206,37.9,15.322,9.72,36085.843,128.797,8.08,82.29
Norway,Europe,2021-12-31,394259.0,1305.0,9256762.0,0.27,3.7,9781881.0,4290203.0,3927324.0,1564354.0,5465629,14.462,39.7,16.821,10.813,64800.057,114.316,5.31,82.4
