Country,Alcoholic Beverages,Animal Products,Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Sugar & Sweeteners,Treenuts,Vegetable Oils,Vegetables,Vegetal Products,Obesity,Undernourished
Afghanistan,0.0014,9.4341,24.8097,0.2099,0.035,5.3495,1.202,7.5828,1.3489,0.077,0.5345,6.7642,40.5645,4.5,29.8
Albania,1.6719,18.7684,5.7817,0.5815,0.2126,6.7861,1.8845,15.7213,1.5367,0.1515,0.3261,11.7753,31.2304,22.3,6.2
Algeria,0.2711,9.6334,13.6816,0.5277,0.2416,6.3801,1.1305,7.6189,1.8342,0.1152,1.031,11.6484,40.3651,26.6,3.9
Angola,5.8087,4.9278,9.1085,0.0587,1.7707,6.0005,2.0571,0.8311,1.8495,0.0061,0.6463,2.3041,45.0722,6.8,25
Argentina,4.2672,19.3454,8.4102,0.9979,0.4693,6.0435,7.0421,10.2328,3.0536,0.02,0.9541,4.3503,30.6559,28.5,4.6
Armenia,0.4014,13.564,7.2982,0.5783,0.2896,6.0989,2.2675,9.9407,2.6579,0.1108,0.4705,16.7019,36.4358,20.9,4.3
Australia,5.5436,21.4175,5.4979,0.4428,1.4264,4.1883,6.7049,12.1018,2.5364,0.3176,1.2798,5.1406,28.5806,30.4,<2.5
Austria,7.0215,19.5654,6.2116,0.7884,0.7562,4.6069,4.681,12.3776,2.6094,0.2367,0.8109,5.1098,30.4338,21.9,<2.5
Azerbaijan,3.5969,11.6416,13.0898,0.5593,0.202,4.7988,2.1513,8.3212,1.5523,0.1906,0.2235,10.0755,38.3584,19.9,<2.5
Bangladesh,0.0031,5.1926,29.8045,0.2957,2.5221,2.8655,0.4191,1.8778,0.9285,0.0934,0.7615,3.6405,44.8033,3.4,14.7
Barbados,3.565,12.4976,8.0666,0.7792,3.275,5.8723,5.8477,2.2041,4.3344,0.0852,0.8677,5.4725,37.5167,24.8,3.9
Belarus,3.7563,12.7089,6.2814,0.7565,0.8372,3.5665,4.1893,6.2104,4.0155,0.1399,0.8804,8.7859,37.2904,26.6,<2.5
Belgium,5.373,17.7279,6.6704,0.6487,1.1325,4.1623,3.237,11.6344,3.6514,0.1309,0.564,6.8161,32.2637,24.5,<2.5
Belize,3.3803,8.6856,11.07,0.3923,1.0325,12.6094,3.489,3.6317,3.9798,0.034,1.0198,4.7721,41.3122,22.4,7.5
Benin,5.9019,3.7504,9.623,0.0711,1.2267,2.9523,1.4107,0.9458,0.6635,0.4028,0.7381,4.1964,46.2493,8.2,10.1
Bolivia,2.8956,11.7799,12.3079,0.6626,0.2307,7.5088,6.4098,4.2873,2.5724,0.7084,0.3573,3.2224,38.2165,18.7,17.1
Bosnia and Herzegovina,4.7876,12.4319,8.7152,0.2576,0.2465,4.6409,1.8165,9.9443,1.6391,0.0822,0.4205,11.6394,37.5645,19.4,<2.5
Botswana,4.2717,14.4486,11.432,0.1402,0.3551,2.8465,2.284,11.0217,4.7857,0.015,1.0065,4.0558,35.5491,16.1,26.4
Brazil,4.3629,17.347,8.4292,0.5042,0.5899,6.0936,6.4784,9.3416,2.7755,0.0513,1.2823,3.307,32.6537,22.3,<2.5
Bulgaria,7.0834,17.2483,8.875,0.5924,0.4845,3.9812,4.0073,11.5992,2.3627,0.0797,0.7085,6.2037,32.7435,27.4,3.6
Burkina Faso,15.3706,4.6611,21.2005,0.2406,0.7077,0.6596,1.2029,2.3195,1.1287,0.0712,0.9503,1.5036,45.3359,4.5,20
Cabo Verde,3.9814,9.7559,14.7961,0.4602,1.0598,4.6402,3.0725,5.0192,2.1396,0.0258,0.9471,6.6338,40.2437,10.6,12.6
Cambodia,4.5783,6.08,24.8906,0.131,4.2369,2.3184,1.2247,0.3285,2.9923,0.0238,0.2511,3.0072,43.9195,3.5,16.4
Cameroon,5.156,2.933,10.3112,0.0256,1.3206,7.2151,0.876,0.6289,0.6479,0.1324,0.6398,8.859,47.067,9.5,9.9
Canada,4.8441,16.0365,6.4236,0.7668,1.2148,5.0692,4.4707,8.7596,5.0237,0.1439,1.3441,5.4961,33.9551,31.3,<2.5
Central African Republic,1.7435,6.9032,3.8844,0.051,0.8041,4.5543,3.7346,1.7581,0.7022,0.0,0.724,1.9214,43.0942,6.3,59.6
Chad,0.8297,12.2804,21.6017,0.0495,1.0451,1.0669,3.8543,5.9037,1.3449,0.0,0.4556,0.9141,37.7189,4.8,37.5
Chile,4.969,15.0394,10.8579,0.7757,0.8711,3.9109,6.1492,6.9966,3.5582,0.119,0.5435,5.3092,34.9584,28.8,2.7
China,2.3224,13.424,8.9298,1.2059,3.3435,4.2451,6.0732,1.7962,3.1065,0.2665,0.579,13.099,36.5744,6.6,8.5
Colombia,3.1032,12.821,8.1055,0.8132,0.4552,11.3276,3.554,7.7443,4.7518,0.0947,0.9454,3.0981,37.1774,22.1,4.8
Congo,4.9612,6.1258,6.2564,0.0457,2.3945,4.0015,3.2735,0.0963,1.3907,0.0016,0.67,2.552,43.8709,8.4,40.3
Costa Rica,1.6982,18.677,8.6611,0.7582,1.3317,9.5203,3.8631,12.4535,3.9006,0.0397,1.4363,2.9837,31.3238,25.7,4.8
Cote d'Ivoire,1.4487,2.9144,11.4585,0.1587,1.3914,4.8741,0.9586,0.1285,0.7859,0.5443,0.8656,2.8098,47.0806,9.0,19
Croatia,4.9846,17.311,5.7726,0.3955,0.9196,3.4094,3.6945,11.8824,3.088,0.0761,0.3808,12.5188,32.6838,27.1,<2.5
Cuba,2.0589,10.0096,9.9309,0.5263,0.3368,9.0347,3.2837,5.5971,3.1617,0.0006,0.4535,8.374,39.9895,26.7,<2.5
Cyprus,3.4447,16.1736,7.0646,0.5746,1.8209,6.198,5.3167,8.2744,4.2194,0.1781,1.1937,7.3888,33.8191,22.6,5.6
Czechia,9.8498,17.8065,5.6937,0.4964,0.5355,3.3962,4.7618,10.983,3.8081,0.0477,0.9854,4.5289,32.1944,28.5,<2.5
Denmark,4.8866,23.2141,6.7226,0.8206,1.1797,3.1098,3.6804,15.9557,2.8728,0.1138,0.0915,5.2431,26.7812,21.3,<2.5
Djibouti,0.3778,5.5215,20.2702,0.1275,0.4276,3.2735,1.7428,2.9085,4.2005,0.0406,1.6153,9.7637,44.4582,12.2,18.9
Dominica,0.941,8.9011,3.4014,0.1244,1.4188,19.3028,2.782,4.4217,3.1738,0.0035,0.3797,4.6371,41.0989,28.2,6.2
Dominican Republic,3.21,11.2417,6.9232,0.6445,0.6059,18.4431,3.5009,6.1202,2.1332,0.0108,1.2948,2.7385,38.7577,26.9,9.5
Ecuador,3.2929,15.3469,14.9132,0.6902,0.6893,8.039,4.0115,9.5745,1.737,0.016,1.3777,2.4981,34.6522,19.3,7.9
Egypt,0.0722,6.7374,17.5311,0.2307,1.5844,6.9387,1.7583,2.7568,1.7984,0.0268,0.3839,10.6559,43.2622,31.1,4.5
El Salvador,2.1651,12.888,11.7265,0.7533,0.573,5.9517,2.6337,8.7381,3.526,0.0155,0.4565,7.2703,37.1029,22.7,9
Estonia,6.1949,22.3154,6.3498,0.6145,0.7127,3.5061,3.081,17.3068,2.3886,0.0886,0.3472,4.9558,27.6779,23.8,2.9
Eswatini,6.2239,7.4118,14.7814,0.1578,0.3643,8.5537,2.5917,3.9299,3.1796,0.0892,0.3258,2.5701,42.5816,13.5,20.6
Ethiopia,2.4543,5.2956,22.0779,0.0594,0.0608,1.1774,0.7462,4.2647,1.317,0.0802,0.4699,1.8449,44.6989,3.6,20.6
Fiji,1.8598,7.8511,10.144,0.2682,2.3832,2.1636,3.0004,1.7421,9.7259,0.0157,0.8683,3.9255,42.1469,30.0,3.7
Finland,4.5004,26.8865,5.1978,0.3979,1.5306,3.1864,3.4915,20.8378,1.8388,0.046,0.2468,3.8325,23.1132,24.9,<2.5
France,4.1631,21.7097,6.9951,0.611,1.8214,4.878,4.4005,13.784,2.611,0.2093,0.8675,5.1223,28.2903,23.2,<2.5
Gabon,6.1881,8.1825,9.1158,0.0701,2.2578,9.0341,4.32,0.9486,1.2508,0.0051,0.4824,2.3979,41.8004,13.4,10.5
Gambia,2.8419,10.1417,21.8908,0.2008,3.9197,0.8742,1.1134,4.8167,4.1176,0.0897,2.2026,2.4575,39.8291,8.7,10.2
Georgia,2.5343,15.5347,15.6253,0.5032,0.6622,3.1735,2.6217,11.3605,3.311,0.1631,0.668,4.0993,34.4636,23.3,7.9
Germany,6.7714,20.8485,6.0363,0.5947,0.6758,3.6131,4.6524,14.1789,2.507,0.1903,0.8104,5.0542,29.1443,25.7,<2.5
Ghana,0.9444,2.8956,6.323,0.0705,1.4992,10.4274,0.8069,0.4178,0.8128,0.0364,0.3655,1.6849,47.1041,9.7,5.5
Greece,2.2879,17.6914,7.2801,0.4539,1.026,6.3296,3.7836,12.0221,1.7744,0.6676,1.5237,7.9134,32.3038,27.4,<2.5
Guatemala,1.7037,10.3765,15.1579,1.4676,0.2807,6.7124,3.9589,4.4093,5.3058,0.198,0.8747,5.7997,39.624,18.8,15.2
Guinea,0.311,3.8776,17.2911,0.1648,0.8939,7.9395,1.1561,1.4724,1.3368,0.0009,1.3271,4.4286,46.1202,6.6,16.5
Guinea-Bissau,2.4603,4.9295,21.6069,0.1038,0.1666,6.366,2.2155,2.1899,0.7893,0.4485,1.8016,2.3642,45.0666,8.2,28
Guyana,1.8708,9.1155,9.7847,0.1038,1.7011,5.7954,2.5237,4.7277,3.2325,0.0435,0.2779,15.2061,40.8722,19.2,8.1
Haiti,1.2733,3.5986,13.4196,0.0525,0.5064,12.0278,1.9687,0.8765,2.0961,0.0,0.8742,2.0302,46.3997,20.5,49.3
Honduras,2.0662,13.6048,14.1699,0.4601,0.3339,6.8464,3.508,9.0154,5.9591,0.0276,1.2467,2.6599,36.3883,19.4,12.9
Hungary,6.7533,20.0268,7.5908,0.8885,0.4113,3.0852,5.2042,12.4568,2.5433,0.0183,0.7214,5.6788,29.9644,28.6,<2.5
Iceland,4.7545,23.97,4.1196,0.5557,4.6117,4.8405,4.6269,13.0028,3.9472,0.0752,0.4667,3.6874,26.0331,23.1,<2.5
India,0.1959,11.3357,17.3821,0.3061,0.6499,5.4333,0.356,9.9889,1.7471,0.1526,0.7487,7.5213,38.6568,3.8,14.5
Indonesia,0.0794,6.2575,24.3918,0.4911,3.9386,5.5134,1.0316,0.5943,1.8481,0.0564,0.8579,3.8558,43.7438,6.9,8.3
Iran (Islamic Republic of),0.0007,7.9295,14.0141,0.4916,0.7813,7.9235,2.3965,3.5808,2.198,0.6421,0.7706,12.5207,42.0701,25.5,4.9
Iraq,0.1915,6.2809,24.0855,1.2467,0.445,6.4975,2.5171,1.9902,3.3755,0.1268,2.0139,4.9563,43.7165,27.4,29
Ireland,7.5703,18.5712,6.3057,0.4653,1.1942,3.3996,4.0102,11.9469,4.0147,0.0836,0.7497,4.951,31.4242,26.9,<2.5
Israel,1.2876,18.7463,7.6277,0.5664,1.4696,6.3746,5.5003,10.9066,1.7747,0.2262,1.6743,8.8586,31.2472,26.7,<2.5
Italy,3.1892,19.0329,8.5417,0.6247,1.5816,6.0207,4.2963,12.1258,1.7175,0.423,1.4224,6.9463,30.9671,22.9,<2.5
Jamaica,2.4636,11.9958,8.5031,0.1457,1.8692,8.0661,4.3372,5.217,4.6889,0.011,0.7584,6.4772,38.0023,24.4,8
Japan,4.044,15.3194,12.1692,1.696,3.9283,2.8618,4.2599,5.063,2.2055,0.0812,1.3445,7.8669,34.6776,4.4,<2.5
Jordan,0.0846,9.3186,14.138,0.3344,0.5985,4.6624,3.8651,4.2637,4.7276,0.1652,1.9861,10.6308,40.6798,33.4,12.2
Kazakhstan,2.1919,19.1598,6.5119,0.4584,0.2393,3.2145,3.4501,14.3591,1.456,0.0845,1.1215,10.2055,30.8394,21.3,<2.5
Kenya,1.9664,11.4394,15.1221,0.1447,0.4329,4.6941,1.7336,8.7987,1.8098,0.0892,0.6689,4.345,38.5589,6.0,29.4
Kiribati,0.297,8.8958,8.2747,0.164,6.1065,5.8907,2.3856,0.1561,4.1373,0.1951,0.4419,4.1389,41.1042,45.6,2.7
"Korea, North",0.8981,3.3933,17.9378,0.4668,1.1568,6.1383,1.3872,0.3146,0.3694,0.0426,0.7783,12.8082,46.6046,7.1,47.8
"Korea, South",4.8669,11.8174,11.7286,0.6414,3.4396,3.6993,4.4239,1.1394,2.4835,0.1664,1.1663,12.3349,38.181,4.9,<2.5
Kuwait,0.0044,10.7213,11.4132,1.3306,0.8343,5.3058,4.877,3.4788,2.9163,0.1512,1.1976,12.9953,39.275,37.0,2.8
Kyrgyzstan,0.6313,15.4588,10.1059,0.2653,0.07,2.2846,1.8707,12.8008,3.2495,0.1449,0.355,11.3219,34.5412,15.4,7.1
Lao People's Democratic Republic,0.7883,3.6579,16.3943,0.1063,1.4213,8.8158,1.7111,0.1632,1.1101,0.0028,0.2149,11.641,46.3416,4.5,16.5
Latvia,5.4573,18.8216,6.3952,0.6645,1.3226,2.5738,3.6559,11.8285,2.6169,0.0793,0.699,6.1946,31.1757,25.7,<2.5
