COUNTRY,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Case_Fatality_Ratio,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
United States of America,Americas,81178013,24524.883,492020,148.645,156260,990599,299.272,2568,0.776,339,1.2202790121363676,USA,AMRO,REPORTING,5/6/2022,570102931.0,270336718.0,172.235,81.672,217410632.0,65.682,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/14/2020,3.0,99432938.0,30.04
India,South-East Asia,43110586,3123.946,22468,1.628,2897,524157,37.982,237,0.017,54,1.2158340765173277,IND,SEARO,REPORTING,5/10/2022,1906551885.0,1004921253.0,138.155,72.82,871590794.0,63.159,"Bharat - Covaxin,Biological E - Corbevax,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,SII - Covishield,SII - Covovax,Zydus - ZyCov-D",1/16/2021,8.0,30039838.0,2.177
Brazil,Americas,30574245,14383.858,113248,53.278,9709,664192,312.474,590,0.278,53,2.172393526131862,BRA,AMRO,REPORTING,5/6/2022,416055006.0,179112844.0,195.736,84.265,159915412.0,75.233,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/17/2021,5.0,79853054.0,37.567
France,Europe,28172780,43316.509,250885,385.743,48584,143723,220.979,710,1.092,123,0.510149606008185,FRA,EURO,REPORTING,5/1/2022,147030463.0,54336626.0,218.4,80.714,52726063.0,78.321,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/30/2020,6.0,39676353.0,58.937
Germany,Europe,25503878,30665.969,422268,507.737,69020,136987,164.714,80,0.096,5,0.5371230891154948,DEU,EURO,REPORTING,5/1/2022,178550662.0,64498790.0,214.7,77.554,64415843.0,77.454,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",12/23/2020,6.0,49321652.0,59.305
Republic of Korea,Western Pacific,17658794,34443.29,263022,513.022,43925,23491,45.819,412,0.804,29,0.1330273617880289,KOR,WPRO,REPORTING,5/9/2022,124962801.0,45956689.0,243.739,89.638,44474239.0,86.747,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2/26/2021,5.0,33171116.0,64.7
Italy,Europe,16872618,28290.069,286350,480.119,56199,164731,276.202,842,1.412,158,0.9763214080531228,ITA,EURO,REPORTING,5/1/2022,135709653.0,50370974.0,227.5,84.461,47441188.0,79.544,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",12/23/2020,5.0,39376794.0,66.022
Spain,Europe,12058888,25476.911,105407,222.694,49829,105123,222.094,476,1.006,222,0.8717461861840315,ESP,EURO,REPORTING,5/1/2022,101296643.0,41180799.0,214.0,87.003,37302187.0,78.809,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4.0,24794087.0,52.383
Viet Nam,Western Pacific,10681214,10973.259,21856,22.454,2855,43058,44.235,14,0.014,1,0.403116339457585,VNM,WPRO,REPORTING,5/5/2022,215350776.0,82077999.0,221.239,84.322,77122937.0,79.232,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",3/8/2021,6.0,15320992.0,15.74
Argentina,Americas,9101319,20137.544,17646,39.043,0,128729,284.825,76,0.168,0,1.414397902743254,ARG,AMRO,REPORTING,5/6/2022,99115622.0,41035648.0,219.303,90.795,37278843.0,82.483,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",12/29/2020,7.0,21113527.0,46.716
