Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Case_Fatality_Ratio
Global,,516476402,6626.130319585148,3557106,45.63586608276109,675952,6258023,80.28726149033466,11092,0.1423047349699404,1623,1.2116764630032408
United States of America,Americas,81178013,24524.883,492020,148.645,156260,990599,299.272,2568,0.776,339,1.2202790121363676
India,South-East Asia,43110586,3123.946,22468,1.628,2897,524157,37.982,237,0.017,54,1.2158340765173277
Brazil,Americas,30574245,14383.858,113248,53.278,9709,664192,312.474,590,0.278,53,2.172393526131862
France,Europe,28172780,43316.509,250885,385.743,48584,143723,220.979,710,1.092,123,0.510149606008185
Germany,Europe,25503878,30665.969,422268,507.737,69020,136987,164.714,80,0.096,5,0.5371230891154948
The United Kingdom,Europe,22144632,32620.32,59282,87.326,5218,176687,260.27,540,0.795,12,0.7978769061738205
Russian Federation,Europe,18241329,12499.672,35162,24.094,4102,377248,258.505,827,0.567,98,2.068094266793561
Republic of Korea,Western Pacific,17658794,34443.29,263022,513.022,43925,23491,45.819,412,0.804,29,0.13302736178802896
Italy,Europe,16872618,28290.069,286350,480.119,56199,164731,276.202,842,1.412,158,0.9763214080531228
Turkey,Europe,15046779,17840.817,10669,12.65,1858,98861,117.219,60,0.071,7,0.6570270856990462
Spain,Europe,12058888,25476.911,105407,222.694,49829,105123,222.094,476,1.006,222,0.8717461861840315
Viet Nam,Western Pacific,10681214,10973.259,21856,22.454,2855,43058,44.235,14,0.014,1,0.403116339457585
Argentina,Americas,9101319,20137.544,17646,39.043,0,128729,284.825,76,0.168,0,1.414397902743254
Japan,Western Pacific,8172238,6461.47,220046,173.982,39041,29894,23.636,211,0.167,51,0.36579911382394403
Netherlands,Europe,8063029,46319.056,10007,57.486,1586,22281,127.996,19,0.109,3,0.27633551081006485
Iran (Islamic Republic of),Eastern Mediterranean,7226219,8603.364,2643,3.147,460,141192,168.1,61,0.073,3,1.9538868749479854
Australia,Western Pacific,6328508,24817.791,305766,1199.088,48015,7565,29.667,254,0.996,49,0.1195392450520677
Colombia,Americas,6093645,11975.823,978,1.922,0,139809,274.766,12,0.024,0,2.294339186542754
Indonesia,South-East Asia,6049541,2211.707,2050,0.749,400,156424,57.188,103,0.038,8,2.585695121460483
Poland,Europe,6001893,15811.874,3895,10.261,566,116164,306.032,94,0.248,14,1.9354568598257234
Mexico,Americas,5745652,4456.317,2292,1.778,0,324465,251.654,6,0.005,0,5.64712968130409
Ukraine,Europe,5006460,11447.587,3590,8.209,0,108449,247.975,38,0.087,0,2.166177029272632
Malaysia,Western Pacific,4463740,13791.448,11959,36.949,2605,35590,109.961,26,0.08,6,0.7973129434994788
Thailand,South-East Asia,4345218,6225.243,54394,77.928,7650,29252,41.908,392,0.562,56,0.6731946046122216
Austria,Europe,4231050,47534.205,36813,413.58,4787,19816,222.625,51,0.573,3,0.46834695142161314
Belgium,Europe,4102082,35600.81,17516,152.016,0,31580,274.074,45,0.391,0,0.769853270192448
Israel,Europe,4098807,47354.718,14564,168.262,2021,10749,124.186,3,0.035,1,0.2622463088049643
Portugal,Europe,3991041,38763.367,99866,969.958,20482,22500,218.533,142,1.379,27,0.5637616567208933
Czechia,Europe,3914113,36601.228,4917,45.979,755,40233,376.222,37,0.346,1,1.0278944739231153
South Africa,Africa,3844625,6482.397,42427,71.536,0,100533,169.508,156,0.263,0,2.614896927787669
Canada,Americas,3794896,10054.794,30050,79.619,2060,39788,105.421,338,0.896,5,1.0484650406562284
Philippines,Western Pacific,3687320,3364.924,1104,1.007,127,60439,55.155,27,0.025,0,1.6391157720055491
Switzerland,Europe,3631884,41964.694,9684,111.894,3,13217,152.716,7,0.081,0,0.3639154380584784
Chile,Americas,3583227,18744.451,19577,102.411,1853,57642,301.535,98,0.513,3,1.6086627450438533
Peru,Americas,3570075,10827.644,3552,10.773,293,212957,645.875,92,0.279,11,5.965055740657894
Greece,Europe,3371051,31450.581,35501,331.21,6416,29444,274.701,195,1.819,27,0.873436964487238
Denmark,Europe,3124899,53666.945,5800,99.609,1003,6252,107.372,61,1.048,8,0.2000710120540679
Romania,Europe,2900375,15005.429,4363,22.572,812,65581,339.291,71,0.367,15,2.2611216247132955
Sweden,Europe,2503090,24236.925,837,8.105,0,18824,182.269,0,0.0,0,0.752030218354845
Iraq,Eastern Mediterranean,2325871,5782.513,584,1.452,131,25215,62.689,3,0.007,1,1.0841134295763797
Serbia,Europe,2010961,29032.0,3407,49.186,466,16037,231.524,30,0.433,4,0.7974786442546156
Bangladesh,South-East Asia,1952855,1185.781,112,0.068,0,29127,17.686,0,0.0,0,1.4915064417459885
Hungary,Europe,1909948,19550.058,6748,69.072,6748,46343,474.363,77,0.788,77,2.4264020086283122
Slovakia,Europe,1785978,32722.967,2625,48.096,443,20002,366.48,59,1.081,8,1.1199473446280102
Jordan,Eastern Mediterranean,1696054,16622.873,84,0.823,0,14066,137.86,0,0.0,0,0.8293391882377975
Georgia,Europe,1655221,41492.815,0,0.0,0,16811,421.415,0,0.0,0,1.0156336705523594
